trip_id,bus_id,route,stop_id,timestamp,passengers_on
"0004206412024090920250612",40,5,186,2025-05-16 11:57:00,1
"0004206372024090920250612",104,5,166,2025-05-16 07:47:00,9
"0004206382024090920250612",115,5,215,2025-05-16 08:56:00,9
"0004206462024090920250612",1,5,243,2025-05-16 17:00:00,9
"0004206382024090920250612",115,5,243,2025-05-16 09:00:00,9
"0004206442024090920250612",112,5,161,2025-05-16 15:04:00,1
"0004205272024090920250612",83,5,150,2025-05-16 07:16:00,9
"0004206472024090920250612",73,5,149,2025-05-16 17:54:00,4
"0004205272024090920250612",83,5,182,2025-05-16 07:12:00,6
"0004206412024090920250612",40,5,2927,2025-05-16 11:47:00,4
"0004206462024090920250612",1,5,166,2025-05-16 16:47:00,9
"0004206382024090920250612",115,5,149,2025-05-16 08:54:00,9
"0004206392024090920250612",91,5,179,2025-05-16 09:59:00,5
"0004206472024090920250612",73,5,185,2025-05-16 17:57:00,9
"0004206392024090920250612",91,5,407,2025-05-16 09:42:00,7
"0004206472024090920250612",73,5,174,2025-05-16 17:51:00,7
"0004205332024090920250612",113,5,450,2025-05-16 13:25:00,3
"0004206452024090920250612",203,5,161,2025-05-16 16:04:00,7
"0004206412024090920250612",40,5,450,2025-05-16 11:48:00,2
"0004206472024090920250612",73,5,166,2025-05-16 17:47:00,7
"0004206442024090920250612",112,5,450,2025-05-16 14:48:00,1
"0004205312024090920250612",57,5,176,2025-05-16 13:39:00,2
"0004206382024090920250612",115,5,165,2025-05-16 08:45:00,9
"0004206412024090920250612",40,5,188,2025-05-16 11:55:00,2
"0004206462024090920250612",1,5,179,2025-05-16 16:59:00,9
"0004206372024090920250612",104,5,188,2025-05-16 07:55:00,5
"0004206442024090920250612",112,5,215,2025-05-16 14:56:00,1
"0004206372024090920250612",104,5,190,2025-05-16 07:58:00,8
"0004206392024090920250612",91,5,444,2025-05-16 09:44:00,6
"0004206382024090920250612",115,5,407,2025-05-16 08:42:00,6
"0004206392024090920250612",91,5,190,2025-05-16 09:58:00,7
"0004206452024090920250612",203,5,188,2025-05-16 15:55:00,4
"0004206392024090920250612",91,5,243,2025-05-16 10:00:00,1
"0004206372024090920250612",104,5,9,2025-05-16 08:02:00,8
"0004206462024090920250612",1,5,149,2025-05-16 16:54:00,6
"0004205342024090920250612",114,5,184,2025-05-16 13:37:00,1
"0004206462024090920250612",1,5,2927,2025-05-16 16:47:00,3
"0004206452024090920250612",203,5,407,2025-05-16 15:42:00,5
"0004206382024090920250612",115,5,186,2025-05-16 08:57:00,8
"0004206382024090920250612",115,5,2927,2025-05-16 08:47:00,10
"0004206462024090920250612",1,5,215,2025-05-16 16:56:00,6
"0004206472024090920250612",73,5,450,2025-05-16 17:48:00,8
"0004206392024090920250612",91,5,186,2025-05-16 09:57:00,6
"0004206382024090920250612",115,5,188,2025-05-16 08:55:00,6
"0004206372024090920250612",104,5,145,2025-05-16 07:52:00,4
"0004205332024090920250612",113,5,147,2025-05-16 13:30:00,2
"0004206452024090920250612",203,5,149,2025-05-16 15:54:00,3
"0004206372024090920250612",104,5,174,2025-05-16 07:51:00,5
"0004206372024090920250612",104,5,2927,2025-05-16 07:47:00,3
"0004206372024090920250612",104,5,407,2025-05-16 07:42:00,8
"0004206422024090920250612",159,5,450,2025-05-16 12:48:00,3
"0004206402024090920250612",164,5,185,2025-05-16 10:57:00,1
"0004206472024090920250612",73,5,179,2025-05-16 17:59:00,2
"0004206432024090920250612",199,5,2927,2025-05-16 13:47:00,1
"0004206372024090920250612",104,5,149,2025-05-16 07:54:00,5
"0004206452024090920250612",203,5,452,2025-05-16 15:50:00,2
"0004206452024090920250612",203,5,186,2025-05-16 15:57:00,4
"0004205342024090920250612",114,5,216,2025-05-16 13:37:00,1
"0004205332024090920250612",113,5,186,2025-05-16 13:34:00,3
"0004205312024090920250612",57,5,453,2025-05-16 13:36:00,2
"0004206452024090920250612",203,5,243,2025-05-16 16:00:00,4
"0004206452024090920250612",203,5,183,2025-05-16 15:56:00,3
"0004206412024090920250612",40,5,179,2025-05-16 11:59:00,1
"0004205272024090920250612",83,5,176,2025-05-16 07:22:00,8
"0004206412024090920250612",40,5,215,2025-05-16 11:56:00,4
"0004206382024090920250612",115,5,450,2025-05-16 08:48:00,5
"0004206472024090920250612",73,5,190,2025-05-16 17:58:00,6
"0004206402024090920250612",164,5,179,2025-05-16 10:59:00,1
"0004206372024090920250612",104,5,183,2025-05-16 07:56:00,6
"0004205332024090920250612",113,5,2549,2025-05-16 13:35:00,1
"0004205272024090920250612",83,5,180,2025-05-16 07:10:00,5
"0004206452024090920250612",203,5,450,2025-05-16 15:48:00,8
"0004206372024090920250612",104,5,215,2025-05-16 07:56:00,9
"0004206452024090920250612",203,5,166,2025-05-16 15:47:00,5
"0004206382024090920250612",115,5,147,2025-05-16 08:53:00,5
"0004206412024090920250612",40,5,183,2025-05-16 11:56:00,1
"0004206392024090920250612",91,5,2927,2025-05-16 09:47:00,3
"0004206432024090920250612",199,5,165,2025-05-16 13:45:00,3
"0004206432024090920250612",199,5,247,2025-05-16 13:40:00,1
"0004206472024090920250612",73,5,165,2025-05-16 17:45:00,6
"0004205272024090920250612",83,5,175,2025-05-16 07:18:00,8
"0004206472024090920250612",73,5,147,2025-05-16 17:53:00,3
"0004206462024090920250612",1,5,452,2025-05-16 16:50:00,9
"0004206452024090920250612",203,5,181,2025-05-16 15:59:00,3
"0004206372024090920250612",104,5,161,2025-05-16 08:04:00,7
"0004206452024090920250612",203,5,247,2025-05-16 15:40:00,3
"0004206432024090920250612",199,5,452,2025-05-16 13:50:00,4
"0004205272024090920250612",83,5,2189,2025-05-16 07:26:00,8
"0004206462024090920250612",1,5,165,2025-05-16 16:45:00,9
"0004206372024090920250612",104,5,165,2025-05-16 07:45:00,7
"0004205272024090920250612",83,5,403,2025-05-16 07:25:00,9
"0004205332024090920250612",113,5,444,2025-05-16 13:21:00,1
"0004206462024090920250612",1,5,147,2025-05-16 16:53:00,10
"0004206472024090920250612",73,5,183,2025-05-16 17:56:00,5
"0004205322024090920250612",207,5,451,2025-05-16 14:17:00,1
"0004206402024090920250612",164,5,452,2025-05-16 10:50:00,2
"0004205272024090920250612",83,5,161,2025-05-16 07:09:00,7
"0004206472024090920250612",73,5,186,2025-05-16 17:57:00,10
"0004206402024090920250612",164,5,145,2025-05-16 10:52:00,2
"0004206382024090920250612",115,5,444,2025-05-16 08:44:00,7
"0004206442024090920250612",112,5,243,2025-05-16 15:00:00,4
"0004206402024090920250612",164,5,407,2025-05-16 10:42:00,1
"0004206462024090920250612",1,5,444,2025-05-16 16:44:00,10
"0004205272024090920250612",83,5,146,2025-05-16 07:17:00,7
"0004206392024090920250612",91,5,452,2025-05-16 09:50:00,6
"0004205342024090920250612",114,5,176,2025-05-16 13:45:00,4
"0004206462024090920250612",1,5,450,2025-05-16 16:48:00,9
"0004205272024090920250612",83,5,148,2025-05-16 07:17:00,8
"0004205272024090920250612",83,5,276,2025-05-16 07:23:00,4
"0004206452024090920250612",203,5,9,2025-05-16 16:02:00,9
"0004205332024090920250612",113,5,407,2025-05-16 13:19:00,4
"0004206392024090920250612",91,5,161,2025-05-16 10:04:00,1
"0004206382024090920250612",115,5,166,2025-05-16 08:47:00,7
"0004206372024090920250612",104,5,452,2025-05-16 07:50:00,2
"0004206462024090920250612",1,5,188,2025-05-16 16:55:00,7
"0004206422024090920250612",159,5,444,2025-05-16 12:44:00,3
"0004206462024090920250612",1,5,174,2025-05-16 16:51:00,6
"0004206382024090920250612",115,5,179,2025-05-16 08:59:00,7
"0004206382024090920250612",115,5,183,2025-05-16 08:56:00,8
"0004206462024090920250612",1,5,407,2025-05-16 16:42:00,9
"0004206452024090920250612",203,5,147,2025-05-16 15:53:00,5
"0004206372024090920250612",104,5,179,2025-05-16 07:59:00,9
"0004206372024090920250612",104,5,185,2025-05-16 07:57:00,6
"0004206382024090920250612",115,5,181,2025-05-16 08:59:00,8
"0004206372024090920250612",104,5,247,2025-05-16 07:40:00,8
"0004206452024090920250612",203,5,145,2025-05-16 15:52:00,1
"0004206472024090920250612",73,5,407,2025-05-16 17:42:00,6
"0004206382024090920250612",115,5,174,2025-05-16 08:51:00,4
"0004206452024090920250612",203,5,179,2025-05-16 15:59:00,5
"0004205272024090920250612",83,5,187,2025-05-16 07:14:00,6
"0004206442024090920250612",112,5,452,2025-05-16 14:50:00,1
"0004206372024090920250612",104,5,444,2025-05-16 07:44:00,3
"0004206462024090920250612",1,5,190,2025-05-16 16:58:00,9
"0004206472024090920250612",73,5,247,2025-05-16 17:40:00,7
"0004206462024090920250612",1,5,161,2025-05-16 17:04:00,7
"0004205342024090920250612",114,5,2549,2025-05-16 13:35:00,1
"0004206442024090920250612",112,5,181,2025-05-16 14:59:00,2
"0004206392024090920250612",91,5,149,2025-05-16 09:54:00,7
"0004206432024090920250612",199,5,147,2025-05-16 13:53:00,3
"0004206422024090920250612",159,5,145,2025-05-16 12:52:00,3
"0004206442024090920250612",112,5,9,2025-05-16 15:02:00,3
"0004206462024090920250612",1,5,183,2025-05-16 16:56:00,9
"0004206372024090920250612",104,5,186,2025-05-16 07:57:00,8
"0004206382024090920250612",115,5,9,2025-05-16 09:02:00,7
"0004206382024090920250612",115,5,145,2025-05-16 08:52:00,8
"0004206412024090920250612",40,5,452,2025-05-16 11:50:00,4
"0004206392024090920250612",91,5,215,2025-05-16 09:56:00,2
"0004206452024090920250612",203,5,2927,2025-05-16 15:47:00,6
"0004205322024090920250612",207,5,2549,2025-05-16 14:10:00,2
"0004205272024090920250612",83,5,2820,2025-05-16 07:15:00,9
"0004205272024090920250612",83,5,191,2025-05-16 07:13:00,8
"0004206462024090920250612",1,5,185,2025-05-16 16:57:00,10
"0004206432024090920250612",199,5,190,2025-05-16 13:58:00,1
"0004206382024090920250612",115,5,190,2025-05-16 08:58:00,5
"0004206372024090920250612",104,5,147,2025-05-16 07:53:00,6
"0004206392024090920250612",91,5,181,2025-05-16 09:59:00,11
"0004205272024090920250612",83,5,453,2025-05-16 07:19:00,7
"0004206382024090920250612",115,5,247,2025-05-16 08:40:00,5
"0004205272024090920250612",83,5,244,2025-05-16 07:10:00,6
"0004206392024090920250612",91,5,188,2025-05-16 09:55:00,4
"0004206372024090920250612",104,5,450,2025-05-16 07:48:00,8
"0004206392024090920250612",91,5,174,2025-05-16 09:51:00,5
"0004205272024090920250612",83,5,451,2025-05-16 07:20:00,10
"0004206432024090920250612",199,5,149,2025-05-16 13:54:00,6
"0004206422024090920250612",159,5,183,2025-05-16 12:56:00,2
